April 2023 Agent in queue stats,,,,,,,,,,,
,April 2023 Agent in queue stats,,,,,,,,,,
Type: Agents in Queue Statistics,,,,,,,,,,,
From 4/1/2023 12:00:00 AM To 4/30/2023 11:59:59 PM,,,,,,,,,,,
Queue: Multiple,,,,,,,,,,,
Agent,,Queue,,Total Logged in Time,Calls,,,Ring Time,,Talk Time,
,,,,,Answered,% Calls Serviced,Answered per Hour,Total,Mean,Total,Mean
0000 - Star Lord,,1000 - Spaceship Com,,1.24:40:32,20,42%,0,02:20:19,00:00:19,04:32:21,00:02:41
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Total:,,,,,20,,,02:20:19,,04:32:21,
,,,3CX Ltd.,,,,,,,,